0;1;2;3;4;5;6;7;8;9;10;11;12
;Attaque;;;;;;Defense;;;;;
Match;Total (yd);Passe (yd);Course (yd);Yd/action;Sacks;Interceptions;Total (yd);Passe (yd);Course (yd);Yd/action;Sacks;Interceptions
1;306;251;55;4.8;3;1;292;217;75;5.4;1;2
2;320;275;45;5;2;3;354;320;34;5.9;1;0
3;334;299;35;4.9;1;5;416;423;-7;5.14;1;2
