0;1;2;3;4;5;6;7;8;9;10;11;12
;Attaque;;;;;;Defense;;;;;
Match;Total (yd);Passe (yd);Course (yd);Yd/action;Sacks;Interceptions;Total (yd);Passe (yd);Course (yd);Yd/action;Sacks;Interceptions
1;413;292;121;7.1;2;2;243;191;52;3.7;7;3
2;510;302;208;9.1;0;0;274;242;32;4.6;1;0
3;191;110;81;3.5;3;0;238;188;50;3.9;0;1
